2026/08/12 12:01:03.718269 [INIT] Logger initialized. Logging errors to terminal and file: logs/app.log
2026/08/12 12:01:05.960384 AutoMigrate warning: Error 3780 (HY000): Referencing column 'branch_id' and referenced column 'id' in foreign key constraint 'fk_users_branch' are incompatible.
2026/08/12 12:01:06.825403 Stationery Management System Server starting on port 8091...
2026/08/12 12:01:09.242555 [ERROR] [MAF001] Authorization token required | File: middleware/auth_middleware.go | Func: main.main.JWTAuth.func9 | Time: 2026-08-12T12:01:09+05:30
2026/08/12 15:43:59.877080 [HTTP] 200 |    103.1982ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:44:06.024956 [HTTP] 200 |      4.5279ms | 10.10.100.45 | GET /api/v1/products
2026/08/12 15:44:11.996652 [HTTP] 200 |     43.7638ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:44:14.618379 [HTTP] 200 |    509.5112ms | 10.10.100.45 | GET /api/v1/monitor/delayed-orders
2026/08/12 15:44:14.619540 [HTTP] 200 |    504.4829ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:44:18.181579 [HTTP] 200 |    126.4612ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:44:20.272422 [HTTP] 200 |     23.8889ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:44:22.975041 [HTTP] 200 |    164.1598ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:44:28.444102 [HTTP] 200 |    120.6262ms | 10.10.100.45 | GET /api/v1/monitor/delayed-orders
2026/08/12 15:44:28.447211 [HTTP] 200 |    123.7355ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:44:38.411486 [HTTP] 200 |     39.2346ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 16:17:17.483147 [HTTP] 200 |    210.2648ms | 10.10.100.1 | POST /api/v1/auth/login
2026/08/12 16:17:18.264088 [HTTP] 200 |    436.0622ms | 10.10.100.1 | GET /api/v1/monitor/delayed-orders
2026/08/12 16:17:18.275856 [HTTP] 200 |    451.2679ms | 10.10.100.1 | GET /api/v1/requests
2026/08/12 16:17:55.805171 [HTTP] 200 |      3.8462ms | 10.10.100.1 | GET /api/v1/products
2026/08/12 16:18:59.743941 [HTTP] 200 |            0s | 10.10.100.1 | POST /api/v1/auth/logout
2026/08/12 16:34:10.505108 [HTTP] 200 |      30.353ms | 10.10.100.45 | GET /api/v1/products
2026/08/12 16:36:13.255334 [HTTP] 200 |    122.0808ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 16:36:22.231698 [HTTP] 200 |     99.4318ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 16:37:47.335580 [HTTP] 200 |            0s | 10.10.100.45 | POST /api/v1/auth/logout
2026/08/12 18:49:12.657950 Shutting down server gracefully...
2026/08/12 18:49:12.666324 Server exiting successfully.
2026/08/21 12:32:34.421513 [INIT] Logger initialized. Logging errors to terminal and file: logs/app.log
2026/08/21 12:32:35.218416 [WARNING] Database connection failed: Error 1045 (28000): Access denied for user 'misuser'@'localhost' (using password: YES). Running in memory / offline mode if DB not available.
2026/08/21 12:32:35.298966 Stationery Management System Server starting on port 8081...
2026/08/21 12:34:00.682572 Shutting down server gracefully...
2026/08/21 12:34:00.695473 Server exiting successfully.
2026/08/21 12:34:13.881532 [INIT] Logger initialized. Logging errors to terminal and file: logs/app.log
2026/08/21 12:34:18.431231 AutoMigrate warning: Error 3780 (HY000): Referencing column 'branch_id' and referenced column 'id' in foreign key constraint 'fk_users_branch' are incompatible.
2026/08/21 12:34:19.498266 Stationery Management System Server starting on port 8081...
2026/08/21 12:37:29.366669 [HTTP] 200 |     463.099ms | ::1 | POST /api/v1/auth/login
2026/08/21 12:37:33.404331 [HTTP] 200 |    903.0958ms | ::1 | GET /api/v1/dashboard/metrics
2026/08/21 12:37:33.920503 [HTTP] 200 |    254.9982ms | ::1 | GET /api/v1/dashboard/metrics
2026/08/21 12:37:34.997850 [HTTP] 200 |    2.3454944s | ::1 | GET /api/v1/requests
2026/08/21 12:37:39.059960 [HTTP] 200 |    3.0767681s | ::1 | GET /api/v1/requests
2026/08/21 12:37:42.053384 [HTTP] 200 |    415.7591ms | ::1 | GET /api/v1/branches
2026/08/21 12:37:42.549841 [HTTP] 200 |    1.1043272s | ::1 | GET /api/v1/users
2026/08/21 12:37:43.332946 [HTTP] 200 |    794.5829ms | ::1 | GET /api/v1/branches
2026/08/21 12:37:43.755026 [HTTP] 200 |    424.1029ms | 127.0.0.1 | GET /api/v1/users
2026/08/21 12:38:21.749540 [HTTP] 200 |    131.3254ms | ::1 | PUT /api/v1/users/1
2026/08/21 12:38:21.980635 [HTTP] 200 |    123.1534ms | ::1 | GET /api/v1/users
2026/08/21 12:38:26.802012 [HTTP] 200 |            0s | ::1 | POST /api/v1/auth/logout
2026/08/21 12:38:33.447349 [HTTP] 200 |    493.9025ms | ::1 | POST /api/v1/auth/login
2026/08/21 12:38:33.980472 [HTTP] 200 |    217.3741ms | ::1 | GET /api/v1/dashboard/metrics
2026/08/21 12:38:34.248420 [HTTP] 200 |     485.836ms | ::1 | GET /api/v1/requests
2026/08/21 12:38:34.284766 [HTTP] 200 |    266.5396ms | ::1 | GET /api/v1/dashboard/metrics
2026/08/21 12:38:35.866521 [HTTP] 200 |    1.5243127s | ::1 | GET /api/v1/requests
2026/08/21 12:38:37.833103 [HTTP] 200 |     93.9956ms | ::1 | GET /api/v1/users
2026/08/21 12:38:37.835121 [HTTP] 200 |     57.6576ms | ::1 | GET /api/v1/branches
2026/08/21 12:38:37.996089 [HTTP] 200 |     31.3121ms | ::1 | GET /api/v1/branches
2026/08/21 12:38:37.996604 [HTTP] 200 |     87.5048ms | ::1 | GET /api/v1/users
2026/08/21 12:39:46.664037 [HTTP] 200 |            0s | ::1 | POST /api/v1/auth/logout
2026/08/21 12:56:14.276300 [HTTP] 200 |    247.5246ms | ::1 | POST /api/v1/auth/login
2026/08/21 12:56:15.235639 [HTTP] 200 |    185.5659ms | ::1 | GET /api/v1/dashboard/metrics
2026/08/21 12:56:15.430558 [HTTP] 200 |    379.9686ms | ::1 | GET /api/v1/requests
2026/08/21 12:56:15.434648 [HTTP] 200 |    166.1596ms | ::1 | GET /api/v1/dashboard/metrics
2026/08/21 12:56:16.114517 [HTTP] 200 |    557.9465ms | ::1 | GET /api/v1/requests
2026/08/21 12:56:18.665958 [HTTP] 200 |     52.5074ms | ::1 | GET /api/v1/branches
2026/08/21 12:56:18.766327 [HTTP] 200 |    152.3548ms | ::1 | GET /api/v1/users
2026/08/21 12:56:18.826759 [HTTP] 200 |     60.4313ms | ::1 | GET /api/v1/branches
2026/08/21 12:56:19.284887 [HTTP] 200 |    410.6621ms | ::1 | GET /api/v1/users
2026/08/21 14:29:24.969616 Shutting down server gracefully...
2026/08/21 16:14:02.118702 [INIT] Logger initialized. Logging errors to terminal and file: logs/app.log
2026/08/21 16:14:04.884041 AutoMigrate warning: Error 3780 (HY000): Referencing column 'branch_id' and referenced column 'id' in foreign key constraint 'fk_users_branch' are incompatible.
2026/08/21 16:14:05.955572 Stationery Management System Server starting on port 8081...
2026/08/21 16:14:45.879418 Shutting down server gracefully...
2026/08/21 16:14:45.899917 Server exiting successfully.
2026/08/24 13:57:29.509548 [INIT] Logger initialized. Logging errors to terminal and file: logs/app.log
2026/08/24 13:57:34.609597 AutoMigrate warning: Error 3780 (HY000): Referencing column 'branch_id' and referenced column 'id' in foreign key constraint 'fk_users_branch' are incompatible.
2026/08/24 13:57:36.988257 Stationery Management System Server starting on port 8081...
2026/08/24 14:02:59.770535 [HTTP] 200 |     32.0657ms | 127.0.0.1 | GET /api/v1/products
2026/08/24 14:02:59.804804 [HTTP] 200 |     19.8138ms | 127.0.0.1 | GET /api/v1/products
2026/08/24 14:03:23.497156 [ERROR] [HRG001] User session invalid | File: handler/request_handler.go | Func: stationery-management/internal/handler.(*RequestHandler).GetRequests | Time: 2026-08-24T14:03:23+05:30
2026/08/24 14:03:23.536457 [HTTP] 401 |     803.319ms | 127.0.0.1 | GET /api/v1/requests
2026/08/24 14:03:24.099234 [ERROR] [HRG002] User session invalid | File: handler/request_handler.go | Func: stationery-management/internal/handler.(*RequestHandler).GetRequests | Time: 2026-08-24T14:03:24+05:30
2026/08/24 14:03:24.140624 [HTTP] 401 |    120.6682ms | 127.0.0.1 | GET /api/v1/requests
2026/08/24 14:03:48.549099 [HTTP] 200 |    366.5941ms | 127.0.0.1 | POST /api/v1/auth/login
2026/08/24 14:03:50.869547 [HTTP] 200 |    1.9390539s | 127.0.0.1 | GET /api/v1/dashboard/metrics
2026/08/24 14:03:51.501031 [HTTP] 200 |    340.8513ms | 127.0.0.1 | GET /api/v1/dashboard/metrics
2026/08/24 14:03:51.745478 [HTTP] 200 |    2.8144664s | 127.0.0.1 | GET /api/v1/requests
2026/08/24 14:03:52.530646 [HTTP] 200 |    699.1401ms | 127.0.0.1 | GET /api/v1/requests
2026/08/24 14:03:52.769751 [HTTP] 200 |     43.9734ms | 127.0.0.1 | GET /api/v1/branches
2026/08/24 14:03:52.969401 [HTTP] 200 |    188.4045ms | 127.0.0.1 | GET /api/v1/users
2026/08/24 14:03:53.062510 [HTTP] 200 |     77.2258ms | 127.0.0.1 | GET /api/v1/branches
2026/08/24 14:03:53.283936 [HTTP] 200 |    220.1328ms | 127.0.0.1 | GET /api/v1/users
2026/08/24 14:04:07.984283 [HTTP] 200 |    521.5579ms | 127.0.0.1 | PUT /api/v1/users/11
2026/08/24 14:04:08.368225 [HTTP] 200 |    219.4153ms | 127.0.0.1 | GET /api/v1/users
2026/08/24 14:04:24.849527 [HTTP] 200 |            0s | 127.0.0.1 | POST /api/v1/auth/logout
2026/08/24 14:04:31.064642 [HTTP] 200 |     368.333ms | 127.0.0.1 | POST /api/v1/auth/login
2026/08/24 14:04:32.013670 [HTTP] 200 |    584.4158ms | 127.0.0.1 | GET /api/v1/dashboard/metrics
2026/08/24 14:04:32.365707 [HTTP] 200 |    938.4823ms | 127.0.0.1 | GET /api/v1/requests
2026/08/24 14:04:32.561830 [HTTP] 200 |    449.2545ms | 127.0.0.1 | GET /api/v1/dashboard/metrics
2026/08/24 14:04:33.715131 [HTTP] 200 |    1.2990634s | 127.0.0.1 | GET /api/v1/requests
2026/08/24 14:04:34.216907 [HTTP] 200 |    624.0011ms | 127.0.0.1 | GET /api/v1/requests
2026/08/24 14:04:34.808199 [HTTP] 200 |    541.6117ms | 127.0.0.1 | GET /api/v1/requests
2026/08/24 14:15:34.756751 [HTTP] 200 |    269.6093ms | 127.0.0.1 | GET /api/v1/requests
2026/08/24 14:15:34.919616 [HTTP] 200 |    103.2689ms | 127.0.0.1 | GET /api/v1/requests
2026/08/24 14:16:36.013406 Shutting down server gracefully...
2026/08/24 14:16:36.018565 Server exiting successfully.
2026/08/28 10:01:49.881749 [INIT] Logger initialized. Logging errors to terminal and file: logs/app.log
2026/08/28 10:01:51.848177 AutoMigrate warning: Error 3780 (HY000): Referencing column 'branch_id' and referenced column 'id' in foreign key constraint 'fk_users_branch' are incompatible.
2026/08/28 10:01:52.285289 Stationery Management System Server starting on port 8081...
2026/08/28 10:02:38.563348 [HTTP] 200 |    2.5122573s | 127.0.0.1 | GET /api/v1/users
2026/08/28 10:02:41.827079 [HTTP] 200 |    5.5603878s | 127.0.0.1 | GET /api/v1/branches
2026/08/28 10:02:44.098809 [HTTP] 200 |    105.3818ms | 127.0.0.1 | GET /api/v1/branches
2026/08/28 10:02:44.312463 [HTTP] 200 |    411.1675ms | 127.0.0.1 | GET /api/v1/users
2026/08/28 10:04:02.644203 [HTTP] 200 |    237.9491ms | 127.0.0.1 | GET /api/v1/branches
2026/08/28 10:04:03.191939 [HTTP] 200 |    780.8415ms | 127.0.0.1 | GET /api/v1/users
2026/08/28 10:21:32.437769 [HTTP] 200 |     22.4119ms | 127.0.0.1 | GET /api/v1/users
2026/08/28 10:21:32.578603 [HTTP] 200 |     10.1681ms | 127.0.0.1 | GET /api/v1/branches
2026/08/28 10:21:34.052778 [HTTP] 200 |     42.7844ms | 127.0.0.1 | GET /api/v1/users
2026/08/28 10:21:34.149962 [HTTP] 200 |     11.5928ms | 127.0.0.1 | GET /api/v1/branches
2026/08/28 10:22:05.933588 [HTTP] 200 |     16.3632ms | 127.0.0.1 | GET /api/v1/branches
2026/08/28 10:22:05.935939 [HTTP] 200 |     18.7143ms | 127.0.0.1 | GET /api/v1/users
2026/08/28 10:22:24.008020 [HTTP] 200 |    273.8616ms | 127.0.0.1 | PUT /api/v1/users/14
2026/08/28 10:22:24.103424 [HTTP] 200 |     22.6849ms | 127.0.0.1 | GET /api/v1/users
2026/08/28 10:23:08.010640 [HTTP] 200 |     231.582ms | 127.0.0.1 | PUT /api/v1/users/1
2026/08/28 10:23:08.433447 [HTTP] 200 |     67.6262ms | 127.0.0.1 | GET /api/v1/users
2026/08/28 10:23:11.328383 [HTTP] 200 |            0s | 127.0.0.1 | POST /api/v1/auth/logout
2026/08/28 10:23:18.616475 [HTTP] 200 |    117.1951ms | 127.0.0.1 | POST /api/v1/auth/login
